Infinitive;Preterite;Past Participle
abide;abided/abode;abided/abode
arise;arose;arisen
awake;awoke/awaked;awoken/awaked
be;was, were;been
bear;bore;borne
beat;beat;beaten
become;became;become
beget;begot/begat;begotten
begin;began;begun
bend;bent;bent
beseech;besought/beseeched;besought/beseeched
bet;bet/betted;bet/betted
bid;bade/bid;bidden/bid
bind;bound;bound
bite;bit;bitten
bleed;bled;bled
blow;blew;blown
break;broke;broken
breed;bred;bred
bring;brought;brought
build;built;built
burn;burned/burnt (Brit);burned/burnt (Brit)
burst;burst;burst
buy;bought;bought
can;could;-
cast;cast;cast
catch;caught;caught
chide;chided/chid;chided/chidden
choose;chose;chosen
cleave (split);cleft/clove;cleft/cloven
cling;clung;clung
come;came;come
cost;cost/costed;cost/costed
creep;crept;crept
cut;cut;cut
dare;dared/durst (arch.);dared
deal;dealt;dealt
dig;dug;dug
dive;dived/dove (US);dived
do;did;done
draw;drew;drawn
dream;dreamed/dreamt;dreamed/dreamt
drink;drank;drunk
drive;drove;driven
dwell;dwelt/dwelled;dwelt/dwelled
eat;ate;eaten
fall;fell;fallen
feed;fed;fed
feel;felt;felt
fight;fought;fought
find;found;found
flee;fled;fled
fling;flung;flung
fly;flew;flown
forbid;forbad(e);forbidden
forget;forgot;forgotten
forsake;forsook;forsaken
freeze;froze;frozen
get;got;got/gotten (US)
gild;gilded;gilded/gilt
gird;girded/girt;girded/girt
give;gave;given
go;went;gone
grind;ground;ground
grow;grew;grown
hang;hung/hanged (Jur);hung/hanged (Jur)
have;had;had
hear;heard;heard
heave;heaved/hove (Naut);heaved/hove (Naut)
hew;hewed;hewn/hewed (US)
hide;hid;hidden/hid
hit;hit;hit
hold;held;held
hurt;hurt;hurt
keep;kept;kept
kneel;knelt/kneeled;knelt/kneeled
know;knew;known
lade;laded;laden
lay;laid;laid
lead;led;led
lean;leaned/leant;leaned/leant
leap;leaped/leapt;leaped/leapt
learn;learned/learnt;learned/learnt
leave;left;left
lend;lent;lent
let;let;let
lie (stretch, extend);lay;lain
lie (speak untruthfully);lied;lied
light;lit/lighted;lit/lighted
lose;lost;lost
make;made;made
may;might;-
mean;meant;meant
meet;met;met
mow;mowed;mowed/mown
pay;paid;paid
put;put;put
quit;quit/quitted;quit/quitted
read;read;read
rend;rent;rent
rid;rid/ridded;rid/ridded
ride;rode;ridden
ring;rang;rung
rise;rose;risen
run;ran;run
saw;sawed;sawed/sawn
say;said;said
see;saw;seen
seek;sought;sought
sell;sold;sold
send;sent;sent
set;set;set
sew;sewed;sewed/sewn
shake;shook;shaken
shave;shaved;shaved/shaven
shear;sheared;sheared/shorn
shed;shed;shed
shine (emit or reflect light);shone;shone
shine (cause to emit light);shone/shined;shone/shined
shoe;shod/shoed;shod/shoed
shoot;shot;shot
show;showed;shown/showed
shrink;shrank;shrunk
shut;shut;shut
sing;sang;sung
sink;sank;sunk
sit;sat;sat
slay;slew;slain
sleep;slept;slept
slide;slid;slid
sling;slung;slung
slink;slunk;slunk
slit;slit/slitted;slit/slitted
smell;smelled/smelt;smelled/smelt
smite;smote;smitten
sow;sowed;sowed/sown
speak;spoke;spoken
speed;sped/speeded;sped/speeded
spell;spelt/spelled;spelt/spelled
spend;spent;spent
spill;spilt/spilled;spilt/spilled
spin;spun/span;spun
spit (eject from the mouth);spat;spat
split;split;split
spoil;spoiled/spoilt;spoiled/spoilt
spread;spread;spread
spring;sprang;sprung
stand;stood;stood
stave;stove/staved;stove/staved
steal;stole;stolen
stick;stuck;stuck
sting;stung;stung
stink;stank;stunk
strew;strewed;strewed/strewn
stride;strode;stridden
strike;struck;struck/stricken (rare)
string;strung;strung
strive;strove;striven
swear;swore;sworn
sweep;swept;swept
swell;swelled;swollen/swelled
swim;swam;swum
swing;swung;swung
take;took;taken
teach;taught;taught
tear;tore;torn
tell;told;told
think;thought;thought
thrive;throve/thrived;thriven/thrived
throw;threw;thrown
thrust;thrust;thrust
tread;trod;trodden
wake;woke/waked;woken/waked
wear;wore;worn
weave;wove/weaved;woven/weaved
weep;wept;wept
win;won;won
wind;winded/wound;winded/wound
wring;wrung;wrung
write;wrote;written 
